2025-11-30 11:36:09,183 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:04:29,826 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:04:31,074 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:05:33,312 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:05:33,312 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:05:37,533 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:06:16,560 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:06:16,560 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:06:17,819 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:06:41,920 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:06:41,920 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:06:42,809 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:06:46,314 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:06:51,085 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:06:58,341 | INFO | shoppingCart | ShoppingCart.py:84 | Changing cart quantity
2025-11-30 12:07:02,793 | WARNING | shoppingCart | ShoppingCart.py:143 | User tried to add invalid amount to cart. Amount: -1.
2025-11-30 12:07:07,883 | INFO | shoppingCart | ShoppingCart.py:137 | User added 1 of Chicken to cart.
2025-11-30 12:07:10,078 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:07:12,090 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 12:08:46,471 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:08:47,756 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 4
2025-11-30 12:08:47,756 | INFO | shoppingCart | ShoppingCart.py:46 | User logged out
2025-11-30 12:08:52,250 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:08:52,250 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:08:54,393 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:08:56,574 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:09:00,160 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:09:01,610 | INFO | shoppingCart | ShoppingCart.py:84 | Changing cart quantity
2025-11-30 12:09:04,735 | WARNING | shoppingCart | ShoppingCart.py:143 | User tried to add invalid amount to cart. Amount: -1.
2025-11-30 12:09:37,184 | INFO | shoppingCart | ShoppingCart.py:137 | User added 1 of Chicken to cart.
2025-11-30 12:09:38,301 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:09:38,792 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 4
2025-11-30 12:09:38,792 | INFO | shoppingCart | ShoppingCart.py:46 | User logged out
2025-11-30 12:09:42,921 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:09:42,921 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:09:44,643 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:09:47,423 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:09:50,045 | INFO | shoppingCart | ShoppingCart.py:84 | Changing cart quantity
2025-11-30 12:09:53,366 | INFO | shoppingCart | ShoppingCart.py:137 | User added -1 of Chicken to cart.
2025-11-30 12:09:56,732 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:10:27,210 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 12:10:30,366 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:10:33,682 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:10:33,682 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:10:36,077 | WARNING | shoppingCart | ShoppingCart.py:249 | Invalid login attempted.
2025-11-30 12:11:07,251 | WARNING | shoppingCart | ShoppingCart.py:249 | Invalid login attempted.
2025-11-30 12:12:11,096 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:12:11,096 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:12:12,030 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:12:15,782 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:12:18,408 | INFO | shoppingCart | ShoppingCart.py:84 | Changing cart quantity
2025-11-30 12:12:23,463 | INFO | shoppingCart | ShoppingCart.py:137 | User added -1 of Chicken to cart.
2025-11-30 12:12:27,212 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:12:28,610 | INFO | shoppingCart | ShoppingCart.py:75 | Stock being displayed
2025-11-30 12:12:36,826 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:12:42,409 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:12:49,020 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:12:53,258 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:12:55,495 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:12:55,495 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:12:57,005 | INFO | shoppingCart | ShoppingCart.py:243 | Admin login used.
2025-11-30 12:13:22,827 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:13:22,827 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:13:25,491 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:13:28,425 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Biscuits to cart.
2025-11-30 12:13:34,624 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:13:36,361 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:13:41,548 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:13:43,533 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:14:07,282 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:14:09,535 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:14:09,535 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:14:11,479 | INFO | shoppingCart | ShoppingCart.py:243 | Admin login used.
2025-11-30 12:15:22,554 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:15:22,554 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:15:23,584 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:15:27,062 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:15:29,057 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:15:31,408 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:15:33,466 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:15:37,117 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:15:38,891 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:15:38,891 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:15:40,974 | INFO | shoppingCart | ShoppingCart.py:244 | Admin login used.
2025-11-30 12:16:52,873 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 4
2025-11-30 12:16:52,873 | INFO | shoppingCart | ShoppingCart.py:46 | User logged out
2025-11-30 12:16:57,803 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:16:57,803 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:16:58,624 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:17:02,183 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:17:03,809 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:17:05,386 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:17:07,898 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:17:10,091 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:17:11,796 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:17:11,796 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:17:13,051 | INFO | shoppingCart | ShoppingCart.py:244 | Admin login used.
2025-11-30 12:19:06,743 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:19:06,743 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:19:08,030 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:19:10,436 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:19:11,819 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:19:13,426 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:19:14,651 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:19:17,066 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:19:18,677 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:19:18,677 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:19:20,766 | INFO | shoppingCart | ShoppingCart.py:244 | Admin login used.
2025-11-30 12:19:38,301 | INFO | shoppingCart | ShoppingCart.py:376 | User logged out
2025-11-30 12:19:40,682 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:19:40,682 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:21:00,611 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:21:00,611 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:21:01,301 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:21:03,365 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:21:05,009 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:21:06,118 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:21:09,129 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:21:10,351 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:21:10,351 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:21:11,494 | INFO | shoppingCart | ShoppingCart.py:244 | Admin login used.
2025-11-30 12:21:22,746 | INFO | shoppingCart | ShoppingCart.py:376 | User logged out
2025-11-30 12:21:25,033 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:21:25,033 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:25:51,672 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:25:51,672 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:25:52,588 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:25:54,869 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:25:55,991 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:25:57,293 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:25:59,626 | INFO | shoppingCart | ShoppingCart.py:78 | Cart being displayed
2025-11-30 12:26:02,287 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:26:03,670 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:26:03,670 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:26:04,860 | INFO | shoppingCart | ShoppingCart.py:249 | Admin login used.
2025-11-30 12:26:13,684 | INFO | shoppingCart | ShoppingCart.py:381 | User logged out
2025-11-30 12:26:15,762 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:26:15,762 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:28:35,677 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:28:35,677 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:28:36,857 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:28:38,982 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:28:41,701 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:28:43,201 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:28:44,827 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:28:46,870 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:28:46,870 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:28:48,202 | INFO | shoppingCart | ShoppingCart.py:254 | Admin login used.
2025-11-30 12:28:55,120 | INFO | shoppingCart | ShoppingCart.py:386 | User logged out
2025-11-30 12:28:56,587 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:28:56,587 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:31:37,158 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:31:37,158 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:31:38,704 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:31:40,492 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:31:42,136 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:31:43,345 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:31:44,806 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:31:46,560 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:31:46,560 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:31:48,661 | INFO | shoppingCart | ShoppingCart.py:249 | Admin login used.
2025-11-30 12:32:00,045 | INFO | shoppingCart | ShoppingCart.py:381 | User logged out
2025-11-30 12:32:02,556 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:32:02,556 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:32:25,646 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:32:25,646 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:32:27,133 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:32:28,709 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:32:29,837 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:32:30,946 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:32:32,269 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:32:33,343 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 3
2025-11-30 12:32:33,343 | INFO | shoppingCart | ShoppingCart.py:42 | Admin log in.
2025-11-30 12:32:35,835 | INFO | shoppingCart | ShoppingCart.py:250 | Admin login used.
2025-11-30 12:32:43,176 | INFO | shoppingCart | ShoppingCart.py:382 | User logged out
2025-11-30 12:32:45,013 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:32:45,013 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:33:44,020 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:33:44,020 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:33:45,423 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:33:47,058 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:33:48,229 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:33:49,781 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:33:51,213 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:33:51,910 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:33:51,910 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
2025-11-30 12:35:01,710 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 4
2025-11-30 12:35:01,710 | INFO | shoppingCart | ShoppingCart.py:46 | User logged out
2025-11-30 12:35:06,308 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 1
2025-11-30 12:35:06,308 | INFO | shoppingCart | ShoppingCart.py:36 | Editing cart.
2025-11-30 12:35:07,729 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:35:09,434 | INFO | shoppingCart | ShoppingCart.py:177 | User added 1 of Cereals to cart.
2025-11-30 12:35:10,477 | INFO | shoppingCart | ShoppingCart.py:90 | Adding to cart...
2025-11-30 12:35:11,183 | INFO | shoppingCart | ShoppingCart.py:177 | User added 3 of Chicken to cart.
2025-11-30 12:35:12,394 | INFO | shoppingCart | ShoppingCart.py:94 | User logged out
2025-11-30 12:35:14,064 | INFO | shoppingCart | ShoppingCart.py:33 | User entered: 2
2025-11-30 12:35:14,064 | INFO | shoppingCart | ShoppingCart.py:39 | Checking out.
